,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_21,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_26,Cluster_27,Cluster_28,Cluster_29
Qwen 2.5,0.08870967741935484,0.07258064516129033,0.04838709677419355,0.008064516129032258,0.04838709677419355,0.008064516129032258,0.0,0.016129032258064516,0.008064516129032258,0.016129032258064516,0.024193548387096774,0.03225806451612903,0.06451612903225806,0.08870967741935484,0.008064516129032258,0.056451612903225805,0.13709677419354838,0.016129032258064516,0.008064516129032258,0.016129032258064516,0.008064516129032258,0.008064516129032258,0.016129032258064516,0.08064516129032258,0.016129032258064516,0.024193548387096774,0.024193548387096774,0.0,0.024193548387096774,0.03225806451612903
Qwen 3 8B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
Qwen 7B,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Qwen Max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Stable Diffusion,0.16666666666666666,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vicuna,0.10434782608695652,0.05217391304347826,0.0,0.0,0.008695652173913044,0.034782608695652174,0.0,0.008695652173913044,0.008695652173913044,0.008695652173913044,0.0,0.017391304347826087,0.008695652173913044,0.008695652173913044,0.06086956521739131,0.12173913043478261,0.017391304347826087,0.08695652173913043,0.0,0.008695652173913044,0.0,0.0,0.12173913043478261,0.21739130434782608,0.0,0.008695652173913044,0.02608695652173913,0.02608695652173913,0.017391304347826087,0.02608695652173913
o1,0.0,0.0,0.0,0.0,0.2631578947368421,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.10526315789473684,0.0,0.10526315789473684,0.10526315789473684
o3,0.0,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.15384615384615385,0.0,0.0,0.07692307692307693
o3-mini,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
o4-mini,0.0,0.07142857142857142,0.0,0.0,0.21428571428571427,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0
